architecture_id	total_junctions	min_rank	max_rank	avg_rank	num_strong_0.5	num_strong_1.0	num_strong_2.0
C01_H01_B155	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B156	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B157	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B158	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B159	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B160	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B161	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B162	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B163	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B164	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B165	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B166	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B167	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B168	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B169	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B170	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B171	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B172	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B173	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B174	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B175	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B176	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B177	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B178	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B179	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B180	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B181	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B182	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B183	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B184	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B185	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B186	72	0.0596	84.9405	24.62550138888889	1	4	6
C01_H01_B187	72	0.0596	84.9405	24.62550138888889	1	4	6
